                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                0.46897,                0.38837,                0.88867,                0.95408,                0.96479,                0.98623,                0.92257,                0.39877,                0.31575,                0.81256,              0.0011554,              0.0011554,              0.0011554
                     64,                0.47725,                0.39473,                 0.8922,                0.94299,                0.93845,                0.98326,                0.90853,                0.41205,                0.34504,                0.81098,              0.0011471,              0.0011471,              0.0011471
                     65,                0.47371,                 0.3853,                0.88488,                0.95682,                0.94366,                0.98424,                0.92439,                0.40299,                0.34635,                0.80439,              0.0011389,              0.0011389,              0.0011389
                     66,                0.47825,                 0.3737,                0.88659,                0.94601,                0.95775,                 0.9857,                0.92467,                0.41006,                0.32962,                0.80922,              0.0011306,              0.0011306,              0.0011306
                     67,                0.46547,                0.38015,                0.87863,                0.96593,                0.95775,                0.98771,                0.91839,                   0.38,                0.29573,                0.80478,              0.0011224,              0.0011224,              0.0011224
                     68,                0.44751,                 0.3609,                0.89133,                0.95573,                0.94705,                0.98563,                0.92073,                0.39921,                 0.3128,                0.80842,              0.0011141,              0.0011141,              0.0011141
                     69,                0.46811,                0.38138,                0.88241,                0.97448,                0.91655,                0.97994,                0.91508,                0.39983,                0.34261,                0.80881,              0.0011059,              0.0011059,              0.0011059
                     70,                0.44895,                0.35713,                0.87589,                0.93545,                0.94225,                0.97424,                0.90064,                0.40734,                0.36021,                0.82134,              0.0010976,              0.0010976,              0.0010976
                     71,                0.45593,                0.36839,                0.88541,                0.96727,                0.94157,                0.98432,                0.91487,                0.43318,                0.33564,                0.83362,              0.0010894,              0.0010894,              0.0010894
                     72,                0.45702,                0.37893,                0.88099,                 0.9706,                0.94879,                0.98568,                0.91445,                0.42522,                0.30387,                0.82762,              0.0010811,              0.0010811,              0.0010811
                     73,                0.44751,                0.36521,                0.88518,                 0.9449,                0.95839,                0.98089,                0.91598,                0.41646,                0.30992,                 0.8191,              0.0010729,              0.0010729,              0.0010729
                     74,                0.45438,                0.36378,                0.87415,                0.96151,                0.94366,                0.98437,                0.90414,                0.43302,                0.32079,                0.82372,              0.0010646,              0.0010646,              0.0010646
                     75,                0.46979,                0.36462,                0.90012,                0.96062,                0.94705,                 0.9847,                0.90867,                0.40682,                0.32589,                0.81846,              0.0010564,              0.0010564,              0.0010564
                     76,                0.47109,                0.35452,                0.89857,                 0.9179,                0.97266,                0.97786,                0.90441,                0.41805,                0.32635,                0.82427,              0.0010481,              0.0010481,              0.0010481
                     77,                0.47461,                 0.3793,                0.88852,                0.93082,                0.98566,                0.98546,                0.92049,                0.41943,                0.32012,                0.82172,              0.0010399,              0.0010399,              0.0010399
                     78,                0.44812,                0.34715,                0.88818,                0.95575,                 0.9434,                0.98152,                0.91285,                0.40201,                0.31496,                0.81377,              0.0010316,              0.0010316,              0.0010316
                     79,                0.42457,                0.33168,                0.87152,                0.94857,                0.96415,                0.98561,                0.91891,                0.41307,                0.32348,                0.81063,              0.0010234,              0.0010234,              0.0010234
                     80,                0.42777,                0.35667,                0.86722,                0.95031,                0.95045,                0.98114,                0.92391,                0.41205,                0.32111,                0.81128,              0.0010151,              0.0010151,              0.0010151
                     81,                0.44332,                0.35668,                0.88146,                0.92928,                0.95775,                0.98306,                0.91498,                0.39589,                0.31614,                0.80492,              0.0010069,              0.0010069,              0.0010069
                     82,                0.42478,                0.35331,                0.86741,                0.93649,                0.95775,                 0.9823,                0.93163,                 0.3817,                0.31453,                0.80278,             0.00099862,             0.00099862,             0.00099862
                     83,                0.43742,                0.35999,                0.87837,                0.92291,                0.96804,                0.98239,                 0.9235,                0.40136,                0.34124,                0.80827,             0.00099036,             0.00099036,             0.00099036
                     84,                0.45173,                0.35512,                0.88825,                0.96368,                0.96444,                 0.9879,                0.92044,                0.42284,                0.31166,                0.82222,             0.00098211,             0.00098211,             0.00098211
                     85,                0.42838,                0.35366,                0.87141,                0.93097,                 0.9772,                 0.9868,                0.92208,                0.42672,                 0.3099,                0.81561,             0.00097386,             0.00097386,             0.00097386
                     86,                0.43494,                0.35024,                0.87559,                0.94882,                0.96379,                0.98311,                0.91657,                0.42189,                0.31752,                0.80309,             0.00096561,             0.00096561,             0.00096561
                     87,                0.46159,                0.36848,                0.88658,                0.97018,                0.94829,                0.98832,                0.92268,                0.41663,                0.31177,                0.80268,             0.00095736,             0.00095736,             0.00095736
                     88,                0.43456,                0.33207,                0.86264,                 0.9681,                0.93481,                0.98556,                0.91784,                0.41023,                0.31205,                0.80895,             0.00094911,             0.00094911,             0.00094911
                     89,                 0.4303,                0.33854,                0.88184,                0.96222,                0.93881,                0.98353,                0.92833,                0.39486,                0.28985,                0.80249,             0.00094085,             0.00094085,             0.00094085
                     90,                0.43237,                 0.3306,                0.86944,                0.94751,                0.96853,                 0.9876,                0.93416,                0.39893,                0.29139,                0.80592,              0.0009326,              0.0009326,              0.0009326
                     91,                0.41311,                0.32062,                0.87271,                0.92603,                0.97251,                0.98212,                0.92776,                0.39048,                0.31447,                0.80852,             0.00092435,             0.00092435,             0.00092435
                     92,                0.43153,                0.34346,                0.87298,                 0.9372,                0.96961,                0.98438,                0.93182,                0.38924,                0.30524,                0.80696,              0.0009161,              0.0009161,              0.0009161
                     93,                0.40826,                0.32555,                0.87316,                0.95959,                0.95172,                0.98449,                0.92862,                0.39426,                0.29352,                0.81175,             0.00090785,             0.00090785,             0.00090785
                     94,                0.42557,                0.33618,                0.86986,                0.92883,                0.94168,                0.96431,                0.91003,                0.40666,                0.35094,                0.81553,              0.0008996,              0.0008996,              0.0008996
                     95,                0.42869,                0.34475,                0.87129,                0.95238,                0.94705,                0.98506,                0.92556,                0.40263,                0.29691,                0.81187,             0.00089134,             0.00089134,             0.00089134
                     96,                0.44302,                 0.3347,                0.87254,                0.93906,                0.97854,                0.98894,                0.93072,                0.38705,                0.28608,                0.80735,             0.00088309,             0.00088309,             0.00088309
                     97,                0.42039,                0.32147,                0.86907,                0.94087,                0.96479,                0.98623,                0.92134,                0.38374,                  0.273,                0.80407,             0.00087484,             0.00087484,             0.00087484
                     98,                0.41946,                0.33018,                0.86476,                0.92586,                0.98755,                0.98733,                0.92629,                0.38159,                0.28046,                0.80076,             0.00086659,             0.00086659,             0.00086659
                     99,                0.40814,                0.31128,                0.87602,                0.94927,                0.97887,                0.98711,                0.92728,                0.37802,                0.27335,                0.80481,             0.00085834,             0.00085834,             0.00085834
